id,Title,Director,Cast,Genre,year,imbd link
2469,Cha Cha Charlee,K. Balachander,"Kamal Hassan, Revathy, Srividya",Comedy,1996,http://www.imdb.com/find?q=Cha+Cha+Charlee+1996+
2470,Chaahat,Mahesh Bhatt,"Shah Rukh Khan, Naseeruddin Shah, Anupam Kher, Pooja Bhatt, Ramya Krishna","Drama, Comedy, Thriller",1996,http://www.imdb.com/find?q=Chaahat+1996+
2471,Chall,,Jackie Shroff,,1996,http://www.imdb.com/find?q=Chall+1996+
2472,Chhota Sa Ghar,Kalpataru,"Asrani, Neelima Azim, Ajinkya Deo",,1996,http://www.imdb.com/find?q=Chhota+Sa+Ghar+1996+
2473,Chhote Sarkar,Manoj Agarwal,"Govinda, Shilpa Shetty",Drama,1996,http://www.imdb.com/find?q=Chhote+Sarkar+1996+
2474,Daanveer,T.L.V. Prasad,"Mithun Chakraborty, Vikas Anand, Anusha, Asrani","Action, Crime, Drama",1996,http://www.imdb.com/find?q=Daanveer+1996+
2475,Daraar,Abbas-Mustan,"Rishi Kapoor, Juhi Chawla, Arbaaz Khan, Johnny Lever, Sushma Seth","Drama, Thriller",1996,http://www.imdb.com/find?q=Daraar+1996+
2476,Dastak,Mahesh Bhatt,"Sharad Kapoor, Mukul Dev, Sushmita Sen, Manoj Bajpai",Thriller,1996,http://www.imdb.com/find?q=Dastak+1996+
2477,Dil Tera Deewana,,"Saif Ali Khan, Twinkle Khanna","Romance, Thriller",1996,http://www.imdb.com/find?q=Dil+Tera+Deewana+1996+
2478,Diljale,Harry Baweja,"Ajay Devgan, Sonali Bendre, Madhoo, Amrish Puri, Gulshan Grover",Action,1996,http://www.imdb.com/find?q=Diljale+1996+
2479,Duniyaa Jhukti Hai,,"Sadashiv Amrapurkar, Jamuna, Anupam Kher",,1996,http://www.imdb.com/find?q=Duniyaa+Jhukti+Hai+1996+
2480,Dushman Duniya Ka,Mehmood,"Manzoor Ali, Laila Mehdin, Farida Jalal, Jeetendra, Shahrukh Khan, Salman Khan",Drama,1996,http://www.imdb.com/find?q=Dushman+Duniya+Ka+1996+
2481,Ek Anari Do Khiladi,Ravi Raja,"Raveena Tandon, Balakrishna, Ramya Krishnan","Action, Romance, Drama",1996,http://www.imdb.com/find?q=Ek+Anari+Do+Khiladi+1996+
2482,Ek Tha Raja,Dayal Nihalani,"Sunil Shetty, Saif Ali Khan, Aditya Pancholi, Neelam Kothari",Romance,1996,http://www.imdb.com/find?q=Ek+Tha+Raja+1996+
2483,English Babu Desi Mem,Praveen Nischol,"Shah Rukh Khan, Sonali Bendre",Romance,1996,http://www.imdb.com/find?q=English+Babu+Desi+Mem+1996+
2484,Fareb,Vikram Bhatt,"Faraaz Khan, Suman Ranganathan, Milind Gunaji",Thriller,1996,http://www.imdb.com/find?q=Fareb+1996+
2485,Fire,Deepa Mehta,"Nandita Das, Shabana Azmi",Social,1996,http://www.imdb.com/find?q=Fire+1996+
2486,Ghatak,Raj Kumar Santoshi,"Sunny Deol, Meenakshi Seshadri, Amrish Puri, Om Puri, Danny Denzongpa","Action, Romance",1996,http://www.imdb.com/find?q=Ghatak+1996+
2487,Gehra Raaz,Ramesh Bedi,"Salma Agha, Raj Babbar, Jamuna",,1996,http://www.imdb.com/find?q=Gehra+Raaz+1996+
2488,Great Robbery,Ram Gopal Varma,"Nagarjuna Akkineni, Arun Govil, Paresh Rawal",,1996,http://www.imdb.com/find?q=Great+Robbery+1996+
2489,Hahakaar,Sudarshan K. Rattan,"Akshay Anand, Chandni, Neelima Azim","Action, Crime, Drama",1996,http://www.imdb.com/find?q=Hahakaar+1996+
2490,Halo,Santosh Sivan,"Benaf Dadachandji, Rajkumar Santoshi, Sahil Choujar",,1996,http://www.imdb.com/find?q=Halo+1996+
2491,Hasina Aur Nagina,Gautam Bhatia,"Sadashiv Amrapurkar, Jagdeep, Kiran Kumar",,1996,http://www.imdb.com/find?q=Hasina+Aur+Nagina+1996+
2492,Himmat,Sunil Sharma,"Sunny Deol, Shilpa Shetty, Tabu",Action,1996,http://www.imdb.com/find?q=Himmat+1996+
2493,Himmatvar,Talat Jani,"Arun Bakshi, Gajendra Chouhan, Dharmendra",Action,1996,http://www.imdb.com/find?q=Himmatvar+1996+
2494,Hukumnama,B.R. Ishara,"Amjad Khan, Mukesh Khanna, Rajat Kumar",,1996,http://www.imdb.com/find?q=Hukumnama+1996+
2495,Hum Hain Khalnayak,R. Thakur,"Arjun, Rajni Bala, Kishore Anand Bhanushali",Action,1996,http://www.imdb.com/find?q=Hum+Hain+Khalnayak+1996+
2496,Hum Hain Premi,Ajay Dixit,"Mahesh Anand, Tinnu Anand, Bindu",Romance,1996,http://www.imdb.com/find?q=Hum+Hain+Premi+1996+
2497,Is Raat Ki Subah Nahin,Sudhir Mishra,"Tara Deshpande, Akhil Mishra, Smriti Mishra",,1996,http://www.imdb.com/find?q=Is+Raat+Ki+Subah+Nahin+1996+
2498,Jaan,Raj Kanwar,"Ajay Devgn, Twinkle Khanna, Amrish Puri","Action, Romance",1996,http://www.imdb.com/find?q=Jaan+1996+
2499,Jagannath,,"Sangeeta Bijlani, Mukesh Khanna, Rami Reddy",Action,1996,http://www.imdb.com/find?q=Jagannath+1996+
2500,Jay Baba Pashupatinath,Satish Kumar,"Shyam Awasthi, Rajdev Jamudhale, Sudhanshu Joshi",,1996,http://www.imdb.com/find?q=Jay+Baba+Pashupatinath+1996+
2501,Jeet,Raj Kanwar,"Sunny Deol, Tabu, Karisma Kapoor, Salman Khan",Drama,1996,http://www.imdb.com/find?q=Jeet+1996+
2502,Jung,T. Rama Rao,"Ajay Devgn, Mithun Chakraborty, Sujata Mehta, Rambha",,1996,http://www.imdb.com/find?q=Jung+1996+
2503,Jurmana,T.L.V. Prasad,"Rambha, Ashwini Bhave, Mithun Chakraborty",Action,1996,http://www.imdb.com/find?q=Jurmana+1996+
2504,Kalinga,,Jackie Shroff,,1996,http://www.imdb.com/find?q=Kalinga+1996+
2505,Khamoshi: The Musical,Sanjay Leela Bhansali,"Salman Khan, Manisha Koirala, Nana Patekar, Seema Biswas","Social, Romance",1996,http://www.imdb.com/find?q=Khamoshi:+The+Musical+1996+
2506,Khiladiyon Ka Khiladi,Umesh Mehra,"Rekha, Akshay Kumar, Raveena Tandon",Action,1996,http://www.imdb.com/find?q=Khiladiyon+Ka+Khiladi+1996+
2507,Khilona,Deepak Pawar,"Aditya Pancholi, Monica Bedi",,1996,http://www.imdb.com/find?q=Khilona+1996+
2508,Khoon Ki Pyasi,K.C. Handra,"Rita Bhaduri, Ramesh Goyal, Javed Khan",Horror,1996,http://www.imdb.com/find?q=Khoon+Ki+Pyasi+1996+
2509,Krishna,S. Deepak,"Sunil Shetty, Karishma Kapoor","Romance, Action",1996,http://www.imdb.com/find?q=Krishna+1996+
2510,Laalchee,Raj N. Sippy,"Anil Dhawan, Avtar Gill, Karina Grover, Pran",Drama,1996,http://www.imdb.com/find?q=Laalchee+1996+
2511,Loafer,David Dhawan,"Anil Kapoor, Juhi Chawla, Farida Jalal, Gulshan Grover",Comedy,1996,http://www.imdb.com/find?q=Loafer+1996+
2512,Maachis,Gulzar,"Tabu, Chandrachur Singh, Om Puri","Crime, War",1996,http://www.imdb.com/find?q=Maachis+1996+
2513,Maahir,Lawrence D'Souza,"Hema Malini, Govinda, Farha Naaz",Family,1996,http://www.imdb.com/find?q=Maahir+1996+
2514,Mafia,,"Ishrat Ali, Somy Ali, Ali Asghar",Action,1996,http://www.imdb.com/find?q=Mafia+1996+
2515,Majhdhaar,Ismayil Shroff,"Salman Khan, Manisha Koirala",Drama,1996,http://www.imdb.com/find?q=Majhdhaar+1996+
2516,Masoom,Mahesh Kothare,"Tinnu Anand, Sulabha Arya, Arun Bakshi, Ayesha Jhulka",Action,1996,http://www.imdb.com/find?q=Masoom+1996+
2517,Megha,Mohanjee Prasad,"Shammi Kapoor, Karisma Kapoor, Rahul Roy",,1996,http://www.imdb.com/find?q=Megha+1996+
2518,Mr. Bechara,K. Bhagyaraj,"Sridevi, Anil Kapoor, Akkineni Nagarjuna, Anupam Kher","Comedy, Drama",1996,http://www.imdb.com/find?q=Mr.+Bechara+1996+
2519,Muqadama,K.C. Bokadia,"Vinod Khanna, Aditya Pancholi, Tanuja, Guddi Maruti",Action,1996,http://www.imdb.com/find?q=Muqadama+1996+
2520,Muqaddar,T.L.V. Prasad,"Mithun Chakraborty, Moushumi Chatterjee, Ayesha Jhulka, Simran",,1996,http://www.imdb.com/find?q=Muqaddar+1996+
2521,Muthi Bhar Zameen,Tinnu Anand,"Danny Denzongpa, Poonam Dhillon, Kumar Gaurav",Action,1996,http://www.imdb.com/find?q=Muthi+Bhar+Zameen+1996+
2522,Namak,Kawal Sharma,"Sanjay Dutt, Farah, Fatima Sheikh, Gulshan Grover",Action,1996,http://www.imdb.com/find?q=Namak+1996+
2523,Nirbhay,,"Sadashiv Amrapurkar, Sangeeta Bijlani, Mithun Chakraborty",,1996,http://www.imdb.com/find?q=Nirbhay+1996+
2524,Papa Kehte Hai,Mahesh Bhatt,"Jugal Hansraj, Amin Hajee, Dinesh Hingoo",,1996,http://www.imdb.com/find?q=Papa+Kehte+Hai+1996+
2525,Papi Gudia,Lawrence D'Souza,"Avinash Wadhavan, Karisma Kapoor, Tinnu Anand","Horror, Thriller",1996,http://www.imdb.com/find?q=Papi+Gudia+1996+
2526,Prem Granth,Rajiv Kapoor,"Rishi Kapoor, Madhuri, Prem chopra, Shammi Kapoor","Social, Romance",1996,http://www.imdb.com/find?q=Prem+Granth+1996+
2527,Raja Aur Rangeeli,K.S. Prakash Rao,Mamta Kulkarni,"Comedy, Romance",1996,http://www.imdb.com/find?q=Raja+Aur+Rangeeli+1996+
2528,Raja Hindustani,Dharmesh Darshan,"Karisma Kapoor, Aamir Khan",Romance,1996,http://www.imdb.com/find?q=Raja+Hindustani+1996+
2529,Raja Ki Aayegi Baraat,Ashok Gaekwad,"Rani Mukerji, Shadaab Khan",Drama,1996,http://www.imdb.com/find?q=Raja+Ki+Aayegi+Baraat+1996+
2530,Rajkumar,Pankuj Parasher,"Naseeruddin Shah, Anil Kapoor, Madhuri Dixit","Drama, Fantasy, Family, Thriller",1996,http://www.imdb.com/find?q=Rajkumar+1996+
2531,Rakshak,Ashok Honda,"Sunil Shetty, Sonali Bendre, Karisma Kapoor",Action,1996,http://www.imdb.com/find?q=Rakshak+1996+
2532,Ram Aur Shyam,Raju Mawani,"Divya Dutta, Sidhant Salaria","Action, Crime, Drama",1996,http://www.imdb.com/find?q=Ram+Aur+Shyam+1996+
2533,Rangbaaz,Kanti Shah,"Ishrat Ali, Mithun Chakraborty, Jack Gaud",Action,1996,http://www.imdb.com/find?q=Rangbaaz+1996+
2534,Return of Jewel Thief,Ashok Tyaagi,"Ashok Kumar, Dev Anand, Dharmendra",Crime,1996,http://www.imdb.com/find?q=Return+of+Jewel+Thief+1996+
2535,Saajan Chale Sasural,David Dhawan,"Govinda, Tabu, Karisma Kapoor, Kader Khan","Comedy, Romance",1996,http://www.imdb.com/find?q=Saajan+Chale+Sasural+1996+
2536,Sanshodhan,Govind Nihalani,"Manoj Bajpai, Vanya Joshi, Kishore Kadam",Drama,1996,http://www.imdb.com/find?q=Sanshodhan+1996+
2537,Sapoot,Jagdish A. Sharma,"Sunil Shetty, Akshay Kumar, Karishma Kapoor, Sonali Bendre","Romance, Action, Drama",1996,http://www.imdb.com/find?q=Sapoot+1996+
2538,Sardari Begum,Shyam Benegal,"Kiron Kher, Surekha Sikri, Amrish Puri",Drama,1996,http://www.imdb.com/find?q=Sardari+Begum+1996+
2539,Shastra,Sanjay Khanna,"Sunil Shetty, Anjali Jathar, Danny Denzongpa",Action,1996,http://www.imdb.com/find?q=Shastra+1996+
2540,Shikaar,,"Urmila Matondkar, Jackie Shroff",,1996,http://www.imdb.com/find?q=Shikaar+1996+
2541,Shohrat,Sathish Ranjan,"Mahesh Anand, Aparajita, Asrani",,1996,http://www.imdb.com/find?q=Shohrat+1996+
2542,Smuggler,Ajay Kashyap,"Dharmendra, Reena Roy",,1996,http://www.imdb.com/find?q=Smuggler+1996+
2543,Spot Boy,Pasha P. Jung,"Akshay Anand, Babban, Raj Kiran",,1996,http://www.imdb.com/find?q=Spot+Boy+1996+
2544,Talaashi,,"Juhi Chawla, Jackie Shroff",,1996,http://www.imdb.com/find?q=Talaashi+1996+
2545,Tere Mere Sapne,Joy Augustine,"Chandrachur Singh, Arshad Warsi, Priya Gill, Simran, Pran","Romance, Drama",1996,http://www.imdb.com/find?q=Tere+Mere+Sapne+1996+
2546,The Making of the Mahatma,Shyam Benegal,Rajit Kapur,Biography,1996,http://www.imdb.com/find?q=The+Making+of+the+Mahatma+1996+
2547,The Square Circle,Amol Palekar,"Nirmal Pandey, Sonali Kulkarni, Faiyyaz","Drama, Music, Romance",1996,http://www.imdb.com/find?q=The+Square+Circle+1996+
2548,Tu Chor Main Sipahi,,"Akshay Kumar, Saif Ali Khan, Tabu","Comedy, Drama",1996,http://www.imdb.com/find?q=Tu+Chor+Main+Sipahi+1996+
2549,"Unicorn, the Garden of the Fruits",,"Yasef Calderón, Romina Barbar, Hukum Singh","Draam, Fantasy",1996,"http://www.imdb.com/find?q=""Unicorn,+the+Garden+of+the+Fruits""+1996+"
2550,Vijeta,K. Murali Mohan Rao,"Sanjay Dutt, Raveena Tandon, Paresh Rawal",Action,1996,http://www.imdb.com/find?q=Vijeta+1996+
2551,Vishwasghaat,Himanshu Brahmbhatt,"Sunil Shetty, Anjali Jathar, Anupam Kher",Action,1996,http://www.imdb.com/find?q=Vishwasghaat+1996+
2552,Yaaron Ka Yaar,,Baba Sehgal,,1996,http://www.imdb.com/find?q=Yaaron+Ka+Yaar+1996+
2553,Yash,Sharad Sharan,"Bijay Anand, Kartika Rane",Musical,1996,http://www.imdb.com/find?q=Yash+1996+
2554,Zordaar,Ajay Kashyap,"Govinda, Aditya Pancholi, Mandikini, Neelam Kothari",,1996,http://www.imdb.com/find?q=Zordaar+1996+
2555,Aar Ya Paar,Ketan Mehta,"Jackie Shroff, Deepa Sahi","Romance, Crime",1997,http://www.imdb.com/find?q=Aar+Ya+Paar+1997+
2556,Aastha: In the Prison of Spring,Basu Bhattacharyya,"Rekha, Om Puri",,1997,http://www.imdb.com/find?q=Aastha:+In+the+Prison+of+Spring+1997+
2557,Aflatoon,Guddu Dhanoa,"Akshay Kumar, Urmila Matondkar",Action,1997,http://www.imdb.com/find?q=Aflatoon+1997+
2558,Agni Morcha,Raju Chutani,"Dharmendra, Mukesh Khanna, Ravi Kishan",Action,1997,http://www.imdb.com/find?q=Agni+Morcha+1997+
2559,Agnichakra,Amit Suryavanshi,"Naseeruddin Shah, Govinda, Dimple Kapadia, Somy Ali",Action,1997,http://www.imdb.com/find?q=Agnichakra+1997+
2560,Aur Pyaar Ho Gaya,Rahul Rawail,"Bobby Deol, Aishwarya Rai",Romance,1997,http://www.imdb.com/find?q=Aur+Pyaar+Ho+Gaya+1997+
2561,Auzaar,Sohail Khan,"Salman Khan, Shilpa Shetty, Sanjay Kapoor",Action,1997,http://www.imdb.com/find?q=Auzaar+1997+
2562,Banarasi Babu,,"Govinda, Ramya, Kader Khan",,1997,http://www.imdb.com/find?q=Banarasi+Babu+1997+
2563,Bhai,Deepak Shivdasani,"Sunil Shetty, Sonali Bendre, Pooja Batra",Action,1997,http://www.imdb.com/find?q=Bhai+1997+
2564,Bhoot Bhungla,Aziz Sejawal,"Govinda, Chunky Pandey",,1997,http://www.imdb.com/find?q=Bhoot+Bhungla+1997+
2565,Border,J. P. Dutta,"Sunny Deol, Jackie Shroff, Sunil Shetty, Akshaye Khanna, Pooja Bhatt, Tabu",War,1997,http://www.imdb.com/find?q=Border+1997+
2566,Chachi 420,Kamal Hassan,"Kamal Hassan, Tabu, Amrish Puri, Om Puri",,1997,http://www.imdb.com/find?q=Chachi+420+1997+
2567,Chupp,Ambrish Sangal,"Jeetendra, Somy Ali, Om Puri",,1997,http://www.imdb.com/find?q=Chupp+1997+
2568,Daava,,"Akshay Kumar, Raveena Tandon, Divya Dutta","Action, Comedy, Romance",1997,http://www.imdb.com/find?q=Daava+1997+
2569,Darmiyaan,Kalpana Lajmi,"Kiron Kher, Tabu",,1997,http://www.imdb.com/find?q=Darmiyaan+1997+
2570,Daud,Ram Gopal Varma,"Sanjay Dutt, Urmila Matondkar","Romance, Crime",1997,http://www.imdb.com/find?q=Daud+1997+
2571,Deewana Mastana,David Dhawan,"Anil Kapoor, Govinda, Juhi Chawla, Anupam Kher, Raveena Tandon",Romantic comedy,1997,http://www.imdb.com/find?q=Deewana+Mastana+1997+
2572,Dil Deewana Maane Na,Naresh Malhotra,"Govinda, Manisha Koirala",,1997,http://www.imdb.com/find?q=Dil+Deewana+Maane+Na+1997+
2573,Dil To Pagal Hai,Yash Chopra,"Shahrukh Khan, Karisma Kapoor, Madhuri Dixit, Akshay Kumar","Comedy, Drama, Romance",1997,http://www.imdb.com/find?q=Dil+To+Pagal+Hai+1997+
2574,Dhaal,Sameer Malkan,"Vinod Khanna, Sunil Shetty, Gautami",Action,1997,http://www.imdb.com/find?q=Dhaal+1997+
2575,Do Ankhen Barah Hath,Kirti Kumar,"Govinda, Madhuvanti",,1997,http://www.imdb.com/find?q=Do+Ankhen+Barah+Hath+1997+
2576,Dus,Mukul S. Anand,"Sanjay Dutt, Salman Khan, Raveena Tandon, Shilpa Shetty",Action,1997,http://www.imdb.com/find?q=Dus+1997+
2577,Ek Phool Teen Kante,Anup Malik,"Vikas Bhalla, Monica Bedi",,1997,http://www.imdb.com/find?q=Ek+Phool+Teen+Kante+1997+
2578,Ghoonghat,,"Inder Kumar, Ayesha Jhulka",Romance,1997,http://www.imdb.com/find?q=Ghoonghat+1997+
2579,Ghulam-E-Musthafa,Partho Ghosh,"Nana Patkar, Raveena Tandon, Paresh Rawal","Actin, Crime, Drama",1997,http://www.imdb.com/find?q=Ghulam-E-Musthafa+1997+
2580,Gudia,"Gautam Ghose, Pran",,,1997,http://www.imdb.com/find?q=Gudia+1997+
2581,Gudgudee,Basu Chatterjee,"Anupam Kher, Jugal Hansraj, Pratibha Sinha","Musical, Romance",1997,http://www.imdb.com/find?q=Gudgudee+1997+
2582,Gundagardi,,"Raj Babbar, Dharmendra",,1997,http://www.imdb.com/find?q=Gundagardi+1997+
2583,Gupt: The Hidden Truth,Rajiv Rai,"Bobby Deol, Manisha Koirala, Kajol",Thriller,1997,http://www.imdb.com/find?q=Gupt:+The+Hidden+Truth+1997+
2584,Hameshaa,Sanjay Gupta,"Saif Ali Khan, Kajol",Drama,1997,http://www.imdb.com/find?q=Hameshaa+1997+
2585,Hero No. 1,David Dhawan,"Govinda, Karisma Kapoor",Comedy,1997,http://www.imdb.com/find?q=Hero+No.+1+1997+
2586,Himalay Putra,Pankaj Parashar,"Vinod Khanna, Akshaye Khanna, Hema Malini","Drama, Romance",1997,http://www.imdb.com/find?q=Himalay+Putra+1997+
2587,Insaaf,Dayal Nihalani,"Akshay Kumar, Shilpa Shetty, Paresh Rawal",Action,1997,http://www.imdb.com/find?q=Insaaf+1997+
2588,Ishq,Indra Kumar,"Aamir Khan, Juhi Chawla, Ajay Devgn, Kajol","Romance, Comedy",1997,http://www.imdb.com/find?q=Ishq+1997+
2589,Itihaas,Raj Kanwar,"Ajay Devgn, Twinkle Khanna",,1997,http://www.imdb.com/find?q=Itihaas+1997+
2590,Jeeo Shaan Se,Talat Jani,"Dharmendra, Reena Roy, Vikas Bhalla",,1997,http://www.imdb.com/find?q=Jeeo+Shaan+Se+1997+
2591,Jeevan Yudh,Partho Ghosh,"Mithun Chakraborty, Atul Agnihotri, Mamta Kulkarni","Action, Drama, Family",1997,http://www.imdb.com/find?q=Jeevan+Yudh+1997+
2592,Jodidar,T.L.V. Prasad,"Bindushree, Mithun Chakraborty, Prem Chopra",,1997,http://www.imdb.com/find?q=Jodidar+1997+
2593,Judaai,Raj Kanwar,"Anil Kapoor, Sridevi, Urmila Matondkar",Drama,1997,http://www.imdb.com/find?q=Judaai+1997+
2594,Judge Mujrim,Jagdish A. Sharma,"Jeetendra, Sunil Shetty, Sujata Mehta",Action,1997,http://www.imdb.com/find?q=Judge+Mujrim+1997+
2595,Judwaa,David Dhawan,"Salman Khan, Rambha, Karisma Kapoor",Comedy,1997,http://www.imdb.com/find?q=Judwaa+1997+
2596,Kaalia,T.L.V. Prasad,"Dipti Bhatnagar, Mithun Chakraborty, Kiran Kumar",,1997,http://www.imdb.com/find?q=Kaalia+1997+
2597,Kaun Rokega Mujhe,,"Govinda, Prem Chopra, Nagma, Pran",,1997,http://www.imdb.com/find?q=Kaun+Rokega+Mujhe+1997+
2598,Kaun Sachcha Kaun Jhootha,Partho Ghosh,"Rishi Kapoor, Sridevi, Suresh Oberoi","Action, Drama, Thriller",1997,http://www.imdb.com/find?q=Kaun+Sachcha+Kaun+Jhootha+1997+
2599,Koyla,Rakesh Roshan,"Shahrukh Khan, Madhuri Dixit, Amrish Puri",Drama,1997,http://www.imdb.com/find?q=Koyla+1997+
2600,Krantikari,Raghuram,"Mithun Chakraborty, Mamta Kulkarni, Rajnikanth","Action, Crime, Drama",1997,http://www.imdb.com/find?q=Krantikari+1997+
2601,Krishna Arjun,Shailendra Shukla,"Jeetendra, Vivek Mushran, Karina Grover",,1997,http://www.imdb.com/find?q=Krishna+Arjun+1997+
2602,Lahu Ke Do Rang,Mehul Kumar,"Akshay Kumar, Karisma Kapoor",Action Drama,1997,http://www.imdb.com/find?q=Lahu+Ke+Do+Rang+1997+
2603,Lakha,,"Kulbhushan Kharbanda, Pran",,1997,http://www.imdb.com/find?q=Lakha+1997+
2604,Lav Kush,V. Madhusudan Rao,Pran,,1997,http://www.imdb.com/find?q=Lav+Kush+1997+
2605,Loha,,"Dharmendra, Mithun Chakraborty, Govinda, Ramya",,1997,http://www.imdb.com/find?q=Loha+1997+
2606,Mahaanta,Afzal Khan,"Sanjay Dutt, Madhuri Dixit",,1997,http://www.imdb.com/find?q=Mahaanta+1997+
2607,Mere Sapno Ki Rani,K. Raghavendra Rao,"Asrani, Rakesh Bedi, Laxmikant Berde","Drama, Musical, Romance",1997,http://www.imdb.com/find?q=Mere+Sapno+Ki+Rani+1997+
2608,Mrityudand,Prakash Jha,"Madhuri Dixit, Shabana Azmi",Drama,1997,http://www.imdb.com/find?q=Mrityudand+1997+
2609,Mrityudata,Mehul Kumar,"Amitabh Bachchan, Nana Patekar, Dimple Kapadia, Karisma Kapoor, Pran",Action,1997,http://www.imdb.com/find?q=Mrityudata+1997+
2610,Mr. and Mrs. Khiladi,David Dhawan,"Akshay Kumar, Juhi Chawla",Romantic comedy,1997,http://www.imdb.com/find?q=Mr.+and+Mrs.+Khiladi+1997+
2611,Naseeb,Kirti Kumar,"Govinda, Mamta Kulkarni",,1997,http://www.imdb.com/find?q=Naseeb+1997+
2612,Pardes,Subhash Ghai,"Shahrukh Khan, Mahima Chaudhry, Amrish Puri",Social Drama,1997,http://www.imdb.com/find?q=Pardes+1997+
2613,Prithvi,Nitin Manmohan,"Sunil Shetty, Shilpa Shetty",Mystery,1997,http://www.imdb.com/find?q=Prithvi+1997+
2614,Qahar,Rajkumar Kohli,"Sunny Deol, Sunil Shetty, Sonali Bendre",Action,1997,http://www.imdb.com/find?q=Qahar+1997+
2615,Raja Ki Aayegi Baraat,Ashok Gaikwad,"Rani Mukherji, Shadaab Khan","Family, Crime, Drama, Romance",1997,http://www.imdb.com/find?q=Raja+Ki+Aayegi+Baraat+1997+
2616,Saat Rang Ke Sapne,Priyadarshan,"Arvind Swamy, Juhi Chawla, Farida Jalal",,1997,http://www.imdb.com/find?q=Saat+Rang+Ke+Sapne+1997+
2617,Salma Pe Dil Aa Gaya,Saawan Kumar Tak,"Ayub Khan, Milind Gunaji, Saadhika, Pran",,1997,http://www.imdb.com/find?q=Salma+Pe+Dil+Aa+Gaya+1997+
2618,Sanam,Aziz Sejawal,"Sanjay Dutt, Manisha Koirala",Romance,1997,http://www.imdb.com/find?q=Sanam+1997+
2619,Sapnay,Rajiv Menon,"Arvind Swamy, Prabhu Deva, Kajol, S. P. Balasubrahmanyam, Nassar",Romance,1997,http://www.imdb.com/find?q=Sapnay+1997+
2620,Shapath (1997 film),Rajiv Babbar,"Mithun Chakraborty, Jackie Shroff, Harish, Ramya Krishna",,1997,http://www.imdb.com/find?q=Shapath+(1997+film)+1997+
2621,Sher-E-Hindustan,T L V Prasad,"Mithun Chakraborty, Sanghavi, Madhoo",,1997,http://www.imdb.com/find?q=Sher-E-Hindustan+1997+
2622,Sixth Happiness,Waris Hussein,"Firdaus Kanga, Souad Faress, Khodus Wadia",Social,1997,http://www.imdb.com/find?q=Sixth+Happiness+1997+
2623,Suraj,T.L.V. Prasad,"Rakesh Bedi, Mithun Chakraborty, Puneet Issar",Action,1997,http://www.imdb.com/find?q=Suraj+1997+
2624,Taraazu,,"Akshay Kumar, Sonali Bendre",Action,1997,http://www.imdb.com/find?q=Taraazu+1997+
2625,Uff! Yeh Mohabbat,Vipin Handa,"Abhishek Kapoor, Twinkle Khanna, Anupam Kher",,1997,http://www.imdb.com/find?q=Uff!+Yeh+Mohabbat+1997+
2626,Virasat,Priyadarshan,"Anil Kapoor, Tabu, Pooja Batra, Amrish Puri",Drama,1997,http://www.imdb.com/find?q=Virasat+1997+
2627,Yes Boss,Aziz Mirza,"Shahrukh Khan, Juhi Chawla, Aditya Pancholi","Comedy, Romance",1997,http://www.imdb.com/find?q=Yes+Boss+1997+
2628,Yeshwant,Anil Matto,"Nana Patekar, Madhoo, Atul Agnihotri, Mohan Joshi, Shafi Inamdar",Social,1997,http://www.imdb.com/find?q=Yeshwant+1997+
2629,Ziddi,Guddu Dhanoa,"Sunny Deol, Raveena Tandon","Action, Drama",1997,http://www.imdb.com/find?q=Ziddi+1997+
2630,1947 Earth,Deepa Mehta,"Aamir Khan, Rahul Khanna, Nandita Das",Social,1998,http://www.imdb.com/find?q=1947+Earth+1998+
2631,2001: Do Hazaar Ek,Raj N. Sippy,"Jackie Shroff, Dimple Kapadia, Tabu","Crime, Drama, Mystery",1998,http://www.imdb.com/find?q=2001:+Do+Hazaar+Ek+1998+
2632,Aakrosh,Lateef Binny,"Sunil Shetty, Shilpa Shetty","Action, Crime, Drama, Thriller",1998,http://www.imdb.com/find?q=Aakrosh+1998+
2633,Achanak,Naresh Malhotra,"Govinda, Manisha Koirala, Paresh Rawal",Drama,1998,http://www.imdb.com/find?q=Achanak+1998+
2634,Ajnabi Saaya,Prasun Bannerjee,"Mithun Chakraborthy, Aditya Pancholi, Shakti Kapoor, Pratibha Sinha",Horror,1998,http://www.imdb.com/find?q=Ajnabi+Saaya+1998+
2635,Angaaray,Mahesh Bhatt,"Akshay Kumar, Akkineni Nagarjuna, Pooja Bhatt, Sonali Bendre",Action,1998,http://www.imdb.com/find?q=Angaaray+1998+
2636,Aunty No. 1,Kirti Kumar,"Govinda, Raveena Tandon, Kader khan, Harish",Comedy,1998,http://www.imdb.com/find?q=Aunty+No.+1+1998+
2637,Bade Miyan Chote Miyan,David Dhawan,"Amitabh Bachchan, Govinda, Raveena Tandon",Comedy,1998,http://www.imdb.com/find?q=Bade+Miyan+Chote+Miyan+1998+
2638,Badmaash,Goutam Pawar,"Jackie Shroff, Shilpa Shirodkar, Pran",Action,1998,http://www.imdb.com/find?q=Badmaash+1998+
2639,Bandhan,Murali Mohan,"Salman Khan, Rambha, Jackie Shroff",Action,1998,http://www.imdb.com/find?q=Bandhan+1998+
2640,Barsaat Ki Raat,Bharat Kapoor,"Deepshika, Dharmendra, Dinesh Hingoo",Musical,1998,http://www.imdb.com/find?q=Barsaat+Ki+Raat+1998+
