id,Title,Director,Cast,Genre,year,imbd link
59,Safar,Asit Sen,"Sharmila Tagore, Ashok Kumar, Rajesh Khanna, Feroz Khan",Drama,1970,http://www.imdb.com/find?q=Safar+1970+
60,Samaj Ko Badal Dalo,Madhusudan Rao V.,"Aruna Irani, Sharada, Pran",Drama,1970,http://www.imdb.com/find?q=Samaj+Ko+Badal+Dalo+1970+
61,Sampoorna Teerth Yatra,Dhirubhai Desai,"Jaymala, Jeevan",Drama,1970,http://www.imdb.com/find?q=Sampoorna+Teerth+Yatra+1970+
62,Sawan Bhadon,Mohan Segal,"Rekha, Navin Nischol",Drama,1970,http://www.imdb.com/find?q=Sawan+Bhadon+1970+
63,Sharafat,Asit Sen,"Ashok Kumar, Dharmendra, Hema Malini",,1970,http://www.imdb.com/find?q=Sharafat+1970+
64,Suhana Safar,Vijay,"Shashi Kapoor, Sharmila Tagore",Drama,1970,http://www.imdb.com/find?q=Suhana+Safar+1970+
65,The Train,Ravikant Nagaich,"Rajesh Khanna, Nanda, Helen, Madan Puri",Drama,1970,http://www.imdb.com/find?q=The+Train+1970+
66,Tum Haseen Main Jawaan,Bhappi Sonie,"Dharmendra, Hema Malini, Helen, Pran",Romance,1970,http://www.imdb.com/find?q=Tum+Haseen+Main+Jawaan+1970+
67,Umang,Atma Ram,"Subhash Ghai, Satish Kumar",Drama,1970,http://www.imdb.com/find?q=Umang+1970+
68,Yaadgaar,S. Ram Sharma,"Nutan, Manoj Kumar, Prem Chopra, Madan Puri, Pran",Drama,1970,http://www.imdb.com/find?q=Yaadgaar+1970+
69,Aap Aye Bahaar Ayee,Mohan Kumar,"Rajendra Kumar,Sadhna, Prem Chopra",Comedy,1971,http://www.imdb.com/find?q=Aap+Aye+Bahaar+Ayee+1971+
70,Adhikar,S.M. Sagar,"Ashok Kumar, Nanda, Deb Mukherjee, Pran",Drama,1971,http://www.imdb.com/find?q=Adhikar+1971+
71,Albela,A. Shamsheer,"Mehmood, Aruna Irani",Drama,1971,http://www.imdb.com/find?q=Albela+1971+
72,Amar Prem,Shakti Samanta,"Rajesh Khanna, Sharmila Tagore",Romance,1971,http://www.imdb.com/find?q=Amar+Prem+1971+
73,Anand,Hrishikesh Mukherjee,"Rajesh Khanna, Amitabh Bachchan, Ramesh Deo, Sunita Sanyal",Drama,1971,http://www.imdb.com/find?q=Anand+1971+
74,Andaz,Ramesh Sippy,"Shammi Kapoor, Hema Malini, Rajesh Khanna",Drama,1971,http://www.imdb.com/find?q=Andaz+1971+
75,Anubhav,Basu Bhattacharya,"Tanuja, Sanjeev Kumar",Drama,1971,http://www.imdb.com/find?q=Anubhav+1971+
76,Badnam Basti,Prem Kapoor,"Nitin Sethi, Nadita Thakur",Drama,1971,http://www.imdb.com/find?q=Badnam+Basti+1971+
77,Badnam Farishte,,Sharmila Tagore,Drama,1971,http://www.imdb.com/find?q=Badnam+Farishte+1971+
78,Balidaan,,"Saira Banu, Manoj Kumar",Drama,1971,http://www.imdb.com/find?q=Balidaan+1971+
79,Banphool,Vijay Bhatt,"Jeetendra, Babita, Shatrughan Sinha",Romance,1971,http://www.imdb.com/find?q=Banphool+1971+
80,Beharoopia,Rajesh Nanda,Helen,Drama,1971,http://www.imdb.com/find?q=Beharoopia+1971+
81,Bikhare Moti,Tapi Chanakya,"Jeetendra, Babita",Romance,1971,http://www.imdb.com/find?q=Bikhare+Moti+1971+
82,Buddha Mil Gaya,Hrishikesh Mukherjee,"Navin Nischol, Om Prakash, Archana",Drama,1971,http://www.imdb.com/find?q=Buddha+Mil+Gaya+1971+
83,Caravan,Nasir Hussain,"Jeetendra, Asha Parekh, Aruna Irani",Romance,1971,http://www.imdb.com/find?q=Caravan+1971+
84,Chaahat,Homi Bhattacharya,"Jeetendra, Mumtaz, Mala Sinha",Romance,1971,http://www.imdb.com/find?q=Chaahat+1971+
85,Chhoti Bahu,K.B. Tilak,"Rajesh Khanna, Sharmila Tagore",Drama,1971,http://www.imdb.com/find?q=Chhoti+Bahu+1971+
